CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400931608851	3160885	0	556	0	361	030	02/05/11	06/04/11
3400931611981	3161198	0	2436	0	1489	065	01/07/12	
3400931611981	3161198	0	2323	0	1489	065	16/02/12	11/01/12
3400931611981	3161198	0	2483	0	1601	065	01/01/12	
3400931611981	3161198	0	2536	0	1601	065	22/01/10	21/01/10
3400931616955	3161695	0	562	0	371	065	01/01/12	
3400931616955	3161695	0	569	0	371	065	01/08/11	20/07/11
3400931616955	3161695	0	569	0	371	030	02/05/11	06/04/11
3400931623120	3162312	0	322	0	184	030	01/01/12	
3400931623120	3162312	0	310	0	184	030	02/05/11	06/04/11
3400931623298	3162329	0	542	0	355	030	01/01/12	
3400931623298	3162329	0	547	0	355	030	02/05/11	06/04/11
3400931623359	3162335	0	2357	0	1699	065	30/06/12	29/06/12
3400931623359	3162335	0	465	0	295	065	01/01/12	
3400931623359	3162335	0	464	0	295	065	07/03/08	06/03/08
3400931623588	3162358	0	195	0	86	030	01/01/12	
3400931623588	3162358	0	174	0	86	030	02/05/11	06/04/11
3400931626312	3162631	0	468	0	298	065	07/03/08	06/03/08
3400931631163	3163116	0	871	0	523	065	16/02/12	11/01/12
3400931631163	3163116	0	949	0	562	065	01/01/12	
3400931631163	3163116	0	968	0	562	065	22/01/10	21/01/10
3400931631804	3163180	0	383	0	232	065	01/01/12	
3400931631804	3163180	0	376	0	232	065	07/03/08	06/03/08
3400931632115	3163211	0	383	0	232	065	01/01/12	
3400931632115	3163211	0	376	0	232	065	07/03/08	06/03/08
3400931632405	3163240	0	531	0	347	015	01/01/12	
3400931632405	3163240	0	536	0	347	015	17/04/10	16/04/10
3400931639039	3163903	0	235	0	130	015	28/07/10	27/07/10
3400931642169	3164216	0	587	0	390	065	01/01/12	
3400931642169	3164216	0	596	0	390	065	07/03/08	06/03/08
3400931642220	3164222	0	644	0	434	065	01/01/12	
3400931642220	3164222	0	657	0	434	065	07/03/08	06/03/08
3400931642398	3164239	0	1040	0	727	065	01/01/12	
3400931642398	3164239	0	1064	0	727	065	07/03/08	06/03/08
3400931642749	3164274	0	600	0	400	100	01/01/12	
3400931642749	3164274	0	610	0	400	100	07/03/08	06/03/08
3400931648543	3164854	0	386	0	234	065	01/01/12	
3400931648543	3164854	0	379	0	234	065	07/03/08	06/03/08
3400931648604	3164860	0	427	0	266	065	01/01/12	
3400931648604	3164860	0	424	0	266	065	07/03/08	06/03/08
3400931648772	3164877	0	439	0	275	065	01/01/12	
3400931648772	3164877	0	436	0	275	065	07/03/08	06/03/08
3400931650263	3165026	0	337	0	196	065	01/01/12	
3400931650263	3165026	0	326	0	196	065	01/01/09	12/12/08
3400931654285	3165428	0	1276	0	901	030	01/01/12	15/12/11
3400931654285	3165428	0	1444	0	1001	030	02/05/11	06/04/11
3400931654865	3165486	0	2436	0	1489	065	01/07/12	
3400931654865	3165486	0	2323	0	1489	065	16/02/12	11/01/12
3400931654865	3165486	0	2483	0	1601	065	01/01/12	
3400931654865	3165486	0	2536	0	1601	065	22/01/10	21/01/10
3400931655527	3165552	0	670	0	454	065	01/01/12	
3400931655527	3165552	0	685	0	454	065	07/03/08	06/03/08
3400931668305	3166830	0	447	0	281	065	01/01/12	
3400931668305	3166830	0	444	0	281	065	07/03/08	06/03/08
3400931669883	3166988	0	500	0	0	065	01/07/06	
3400931684381	3168438	0	195	0	86	065	01/01/12	
3400931684381	3168438	0	174	0	86	065	20/10/10	19/10/10
3400931684442	3168444	0	217	0	103	065	01/01/12	
3400931684442	3168444	0	197	0	103	065	07/03/08	06/03/08
3400931689294	3168929	0	351	0	207	065	01/01/12	
3400931689294	3168929	0	342	0	207	065	07/03/08	06/03/08
3400931691426	3169142	0	399	0	244	065	01/01/12	
3400931691426	3169142	0	393	0	244	065	07/03/08	06/03/08
3400931698289	3169828	0	337	0	196	030	01/01/12	
3400931698289	3169828	0	326	0	196	030	02/05/11	06/04/11
3400931704294	3170429	0	758	0	519	065	01/02/12	11/01/12
3400931704294	3170429	0	881	0	610	065	01/01/12	
3400931704294	3170429	0	901	0	610	065	07/03/08	06/03/08
